	num_hpo_annotation	num_disease	num_patient
Entrez:4000	703	11.0	30
Entrez:2263	634	11.0	19
Entrez:1280	526	14.0	14
Entrez:2261	514	14.0	16
Entrez:2316	467	9.0	10
Entrez:3845	455	12.0	4
Entrez:2260	430	7.0	3
Entrez:5428	419	6.0	6
Entrez:6899	396	4.0	2
Entrez:2200	380	8.0	62
Entrez:5728	373	4.0	12
Entrez:673	361	5.0	18
Entrez:8626	360	6.0	4
Entrez:2778	344	7.0	4
Entrez:2006	343	3.0	1
Entrez:79147	325	4.0	4
Entrez:546	323	3.0	10
Entrez:2629	312	7.0	12
Entrez:2737	301	5.0	9
Entrez:2068	294	3.0	1
Entrez:6261	293	4.0	13
Entrez:8481	289	4.0	1
Entrez:10585	285	3.0	1
Entrez:29954	283	4.0	2
Entrez:10743	282	1.0	21
Entrez:4137	281	5.0	3
Entrez:9968	279	3.0	6
Entrez:5290	276	13.0	8
Entrez:2697	272	8.0	5
Entrez:6392	272	4.0	1
Entrez:4204	269	5.0	43
Entrez:55636	267	2.0	33
Entrez:11128	263	2.0	4
Entrez:2317	261	5.0	10
Entrez:4567	255	2.0	1
Entrez:324	255	5.0	7
Entrez:4089	252	4.0	3
Entrez:2239	250	3.0	1
Entrez:170302	247	5.0	4
Entrez:4535	244	2.0	2
Entrez:59341	243	10.0	2
Entrez:6390	241	4.0	3
Entrez:10269	241	2.0	1
Entrez:6812	238	1.0	12
Entrez:63895	235	4.0	3
Entrez:5189	234	3.0	4
Entrez:91147	231	6.0	4
Entrez:54880	231	2.0	2
Entrez:4621	230	4.0	2
Entrez:2072	227	3.0	1
Entrez:1277	227	7.0	11
Entrez:100151683	224	2.0	3
Entrez:26580	224	4.0	3
Entrez:355	223	1.0	2
Entrez:6925	220	2.0	25
Entrez:5979	219	6.0	6
Entrez:4540	219	2.0	1
Entrez:1301	218	3.0	12
Entrez:5832	217	4.0	5
Entrez:2719	216	2.0	1
Entrez:4625	215	7.0	19
Entrez:54903	214	3.0	4
Entrez:55624	214	4.0	1
Entrez:29925	213	3.0	2
Entrez:7490	209	7.0	2
Entrez:6389	209	4.0	1
Entrez:3265	209	6.0	15
Entrez:4541	208	2.0	2
Entrez:57465	208	6.0	2
Entrez:473	206	1.0	1
Entrez:6497	204	1.0	2
Entrez:374654	202	3.0	5
Entrez:5781	200	4.0	50
Entrez:6197	199	2.0	21
Entrez:9896	199	4.0	1
Entrez:4784	199	2.0	9
Entrez:1717	196	1.0	19
Entrez:5190	196	3.0	2
Entrez:3339	196	2.0	4
Entrez:23322	195	3.0	1
Entrez:5727	193	3.0	3
Entrez:4703	192	1.0	3
Entrez:9215	192	3.0	1
Entrez:7170	192	2.0	1
Entrez:538	190	3.0	3
Entrez:8243	190	1.0	4
Entrez:4297	189	1.0	22
Entrez:80184	188	5.0	9
Entrez:6329	188	6.0	4
Entrez:23556	187	1.0	2
Entrez:5621	187	6.0	2
Entrez:6513	187	5.0	10
Entrez:1294	187	7.0	8
Entrez:2074	186	6.0	5
Entrez:57545	186	3.0	1
Entrez:57167	186	2.0	1
Entrez:8260	185	2.0	5
Entrez:25836	184	1.0	14
Entrez:1857	184	2.0	3
Entrez:22827	183	1.0	5
Entrez:3425	181	3.0	7
Entrez:8239	181	2.0	2
Entrez:6598	180	3.0	11
Entrez:9401	180	3.0	5
Entrez:6663	179	3.0	4
Entrez:7157	178	12.0	5
Entrez:26040	178	2.0	6
Entrez:4920	178	2.0	3
Entrez:7048	176	3.0	3
Entrez:4952	176	2.0	4
Entrez:6833	176	5.0	2
Entrez:145173	176	1.0	1
Entrez:55869	174	1.0	14
Entrez:11277	173	4.0	1
Entrez:6335	173	6.0	1
Entrez:57492	173	1.0	74
Entrez:7273	173	6.0	15
Entrez:56623	172	2.0	1
Entrez:7291	171	4.0	3
Entrez:1278	171	6.0	2
Entrez:259232	170	2.0	4
Entrez:64072	169	3.0	2
Entrez:1281	168	2.0	4
Entrez:5663	168	5.0	3
Entrez:3643	168	3.0	1
Entrez:55209	167	1.0	6
Entrez:3767	166	5.0	4
Entrez:3930	165	3.0	2
Entrez:675	164	8.0	6
Entrez:6023	162	3.0	1
Entrez:9469	162	2.0	2
Entrez:2812	162	1.0	3
Entrez:60	161	2.0	11
Entrez:7403	161	2.0	2
Entrez:3981	161	2.0	2
Entrez:2566	160	2.0	1
Entrez:672	160	3.0	9
Entrez:4508	160	2.0	6
Entrez:7468	160	1.0	2
Entrez:9126	159	1.0	1
Entrez:7428	159	4.0	3
Entrez:2033	159	3.0	7
Entrez:4854	159	3.0	15
Entrez:4221	158	1.0	3
Entrez:6324	158	4.0	2
Entrez:5376	156	6.0	4
Entrez:773	156	4.0	17
Entrez:26227	155	2.0	1
Entrez:5894	154	3.0	22
Entrez:4359	152	7.0	5
Entrez:6326	151	2.0	11
Entrez:9487	151	1.0	2
Entrez:3756	150	2.0	2
Entrez:25782	149	2.0	1
Entrez:25942	149	1.0	3
Entrez:4853	149	2.0	9
Entrez:23096	148	1.0	5
Entrez:3043	148	5.0	2
Entrez:64840	147	1.0	3
Entrez:54888	147	1.0	1
Entrez:1499	147	7.0	5
Entrez:523	146	2.0	3
Entrez:153241	145	2.0	1
Entrez:9131	145	3.0	1
Entrez:57190	145	2.0	1
Entrez:79718	145	2.0	3
Entrez:55768	144	1.0	1
Entrez:5339	144	6.0	1
Entrez:114548	144	5.0	1
Entrez:6792	144	1.0	2
Entrez:6872	144	2.0	1
Entrez:6662	143	1.0	2
Entrez:5193	143	2.0	1
Entrez:2626	143	5.0	1
Entrez:2073	142	2.0	1
Entrez:117581	142	3.0	2
Entrez:128674	141	1.0	1
Entrez:5447	141	3.0	1
Entrez:4088	140	1.0	2
Entrez:29957	140	1.0	2
Entrez:23522	140	2.0	10
Entrez:8573	140	3.0	7
Entrez:1736	139	1.0	1
Entrez:6834	139	2.0	3
Entrez:10060	139	3.0	5
Entrez:64324	139	2.0	36
Entrez:81857	138	2.0	2
Entrez:5604	137	2.0	1
Entrez:7227	136	2.0	18
Entrez:2627	136	5.0	2
Entrez:5373	136	1.0	3
Entrez:2332	136	3.0	22
Entrez:79728	136	2.0	17
Entrez:7248	135	3.0	5
Entrez:5080	135	8.0	4
Entrez:6651	135	1.0	5
Entrez:9786	134	2.0	5
Entrez:6885	134	2.0	1
Entrez:64135	134	2.0	4
Entrez:55670	133	2.0	1
Entrez:1146	133	2.0	2
Entrez:23384	132	3.0	5
Entrez:547	132	4.0	6
Entrez:998	131	1.0	2
Entrez:4210	131	2.0	4
Entrez:7249	131	3.0	5
Entrez:1145	130	3.0	1
Entrez:4010	130	1.0	2
Entrez:85358	130	2.0	11
Entrez:57728	129	4.0	2
Entrez:10522	129	2.0	5
Entrez:9927	128	3.0	3
Entrez:5077	128	4.0	11
Entrez:5885	128	2.0	2
Entrez:171023	127	2.0	14
Entrez:2132	127	2.0	2
Entrez:1186	126	3.0	2
Entrez:54806	125	1.0	3
Entrez:657	125	2.0	1
Entrez:8398	124	3.0	8
Entrez:79158	123	2.0	23
Entrez:51604	123	2.0	1
Entrez:1144	123	4.0	1
Entrez:10815	123	2.0	1
Entrez:4763	122	5.0	49
Entrez:1387	122	1.0	22
Entrez:1302	122	5.0	3
Entrez:5295	121	3.0	3
Entrez:4352	121	3.0	1
Entrez:6323	121	3.0	15
Entrez:2175	121	1.0	1
Entrez:2736	120	2.0	2
Entrez:6469	120	4.0	1
Entrez:5888	120	3.0	1
Entrez:54551	120	2.0	6
Entrez:8799	119	1.0	1
Entrez:2706	119	8.0	19
Entrez:5073	118	2.0	1
Entrez:29123	118	1.0	47
Entrez:4976	118	4.0	5
Entrez:1292	117	3.0	5
Entrez:1376	116	4.0	2
Entrez:23394	116	1.0	10
Entrez:860	116	2.0	10
Entrez:93627	116	1.0	4
Entrez:2623	116	4.0	9
Entrez:1289	116	2.0	4
Entrez:3815	115	5.0	1
Entrez:9321	115	2.0	1
Entrez:617	115	4.0	1
Entrez:1482	115	6.0	2
Entrez:10908	114	4.0	1
Entrez:4038	114	3.0	1
Entrez:10312	114	1.0	1
Entrez:5605	114	1.0	2
Entrez:5961	114	5.0	7
Entrez:2137	113	1.0	1
Entrez:7084	113	2.0	1
Entrez:7020	113	1.0	7
Entrez:291	112	3.0	2
Entrez:1282	112	4.0	4
Entrez:139285	112	1.0	2
Entrez:23345	111	3.0	4
Entrez:1188	111	2.0	2
Entrez:1293	111	3.0	2
Entrez:157680	111	1.0	11
Entrez:5889	109	2.0	2
Entrez:4998	109	1.0	3
Entrez:4593	109	2.0	2
Entrez:3664	109	3.0	3
Entrez:1756	109	3.0	12
Entrez:64359	109	1.0	1
Entrez:4867	109	3.0	2
Entrez:8085	109	1.0	23
Entrez:60684	108	1.0	2
Entrez:400916	108	3.0	1
Entrez:29110	108	2.0	1
Entrez:7046	108	2.0	1
Entrez:7466	108	5.0	1
Entrez:3239	108	5.0	2
Entrez:2896	107	2.0	1
Entrez:4693	107	2.0	3
Entrez:9742	107	2.0	2
Entrez:23126	107	1.0	7
Entrez:134218	107	2.0	1
Entrez:83990	107	2.0	3
Entrez:80025	107	2.0	3
Entrez:6299	107	1.0	4
Entrez:10555	106	1.0	1
Entrez:3861	105	6.0	1
Entrez:2720	105	4.0	6
Entrez:55650	105	1.0	30
Entrez:1303	105	2.0	1
Entrez:57688	105	2.0	1
Entrez:6559	105	1.0	2
Entrez:84942	105	1.0	2
Entrez:91574	105	2.0	1
Entrez:7840	104	1.0	6
