	num_hpo_annotation	num_patient	num_disease
Entrez:4000	703	30	11.0
Entrez:2263	634	19	11.0
Entrez:1280	526	14	14.0
Entrez:2261	514	16	14.0
Entrez:2316	467	10	9.0
Entrez:3845	455	4	12.0
Entrez:2260	430	3	7.0
Entrez:5428	419	6	6.0
Entrez:6899	396	2	4.0
Entrez:2200	380	62	8.0
Entrez:5728	373	12	4.0
Entrez:673	361	18	5.0
Entrez:8626	360	4	6.0
Entrez:2778	344	4	7.0
Entrez:2006	343	1	3.0
Entrez:79147	325	4	4.0
Entrez:546	323	10	3.0
Entrez:2629	312	12	7.0
Entrez:2737	301	9	5.0
Entrez:2068	294	1	3.0
Entrez:6261	293	13	4.0
Entrez:8481	289	1	4.0
Entrez:10585	285	1	3.0
Entrez:29954	283	2	4.0
Entrez:10743	282	21	1.0
Entrez:4137	281	3	5.0
Entrez:9968	279	6	3.0
Entrez:5290	276	8	13.0
Entrez:2697	272	5	8.0
Entrez:6392	272	1	4.0
Entrez:4204	269	43	5.0
Entrez:55636	267	33	2.0
Entrez:11128	263	4	2.0
Entrez:2317	261	10	5.0
Entrez:4567	255	1	2.0
Entrez:324	255	7	5.0
Entrez:4089	252	3	4.0
Entrez:2239	250	1	3.0
Entrez:170302	247	4	5.0
Entrez:4535	244	2	2.0
Entrez:59341	243	2	10.0
Entrez:6390	241	3	4.0
Entrez:10269	241	1	2.0
Entrez:6812	238	12	1.0
Entrez:63895	235	3	4.0
Entrez:5189	234	4	3.0
Entrez:91147	231	4	6.0
Entrez:54880	231	2	2.0
Entrez:4621	230	2	4.0
Entrez:2072	227	1	3.0
Entrez:1277	227	11	7.0
Entrez:100151683	224	3	2.0
Entrez:26580	224	3	4.0
Entrez:355	223	2	1.0
Entrez:6925	220	25	2.0
Entrez:5979	219	6	6.0
Entrez:4540	219	1	2.0
Entrez:1301	218	12	3.0
Entrez:5832	217	5	4.0
Entrez:2719	216	1	2.0
Entrez:4625	215	19	7.0
Entrez:54903	214	4	3.0
Entrez:55624	214	1	4.0
Entrez:29925	213	2	3.0
Entrez:7490	209	2	7.0
Entrez:6389	209	1	4.0
Entrez:3265	209	15	6.0
Entrez:4541	208	2	2.0
Entrez:57465	208	2	6.0
Entrez:473	206	1	1.0
Entrez:6497	204	2	1.0
Entrez:374654	202	5	3.0
Entrez:5781	200	50	4.0
Entrez:6197	199	21	2.0
Entrez:9896	199	1	4.0
Entrez:4784	199	9	2.0
Entrez:1717	196	19	1.0
Entrez:5190	196	2	3.0
Entrez:3339	196	4	2.0
Entrez:23322	195	1	3.0
Entrez:5727	193	3	3.0
Entrez:4703	192	3	1.0
Entrez:9215	192	1	3.0
Entrez:7170	192	1	2.0
Entrez:538	190	3	3.0
Entrez:8243	190	4	1.0
Entrez:4297	189	22	1.0
Entrez:80184	188	9	5.0
Entrez:6329	188	4	6.0
Entrez:23556	187	2	1.0
Entrez:5621	187	2	6.0
Entrez:6513	187	10	5.0
Entrez:1294	187	8	7.0
Entrez:2074	186	5	6.0
Entrez:57545	186	1	3.0
Entrez:57167	186	1	2.0
Entrez:8260	185	5	2.0
Entrez:25836	184	14	1.0
Entrez:1857	184	3	2.0
Entrez:22827	183	5	1.0
Entrez:3425	181	7	3.0
Entrez:8239	181	2	2.0
Entrez:6598	180	11	3.0
Entrez:9401	180	5	3.0
Entrez:6663	179	4	3.0
Entrez:7157	178	5	12.0
Entrez:26040	178	6	2.0
Entrez:4920	178	3	2.0
Entrez:7048	176	3	3.0
Entrez:4952	176	4	2.0
Entrez:6833	176	2	5.0
Entrez:145173	176	1	1.0
Entrez:55869	174	14	1.0
Entrez:11277	173	1	4.0
Entrez:6335	173	1	6.0
Entrez:57492	173	74	1.0
Entrez:7273	173	15	6.0
Entrez:56623	172	1	2.0
Entrez:7291	171	3	4.0
Entrez:1278	171	2	6.0
Entrez:259232	170	4	2.0
Entrez:64072	169	2	3.0
Entrez:1281	168	4	2.0
Entrez:5663	168	3	5.0
Entrez:3643	168	1	3.0
Entrez:55209	167	6	1.0
Entrez:3767	166	4	5.0
Entrez:3930	165	2	3.0
Entrez:675	164	6	8.0
Entrez:6023	162	1	3.0
Entrez:9469	162	2	2.0
Entrez:2812	162	3	1.0
Entrez:60	161	11	2.0
Entrez:7403	161	2	2.0
Entrez:3981	161	2	2.0
Entrez:2566	160	1	2.0
Entrez:672	160	9	3.0
Entrez:4508	160	6	2.0
Entrez:7468	160	2	1.0
Entrez:9126	159	1	1.0
Entrez:7428	159	3	4.0
Entrez:2033	159	7	3.0
Entrez:4854	159	15	3.0
Entrez:4221	158	3	1.0
Entrez:6324	158	2	4.0
Entrez:5376	156	4	6.0
Entrez:773	156	17	4.0
Entrez:26227	155	1	2.0
Entrez:5894	154	22	3.0
Entrez:4359	152	5	7.0
Entrez:6326	151	11	2.0
Entrez:9487	151	2	1.0
Entrez:3756	150	2	2.0
Entrez:25782	149	1	2.0
Entrez:25942	149	3	1.0
Entrez:4853	149	9	2.0
Entrez:23096	148	5	1.0
Entrez:3043	148	2	5.0
Entrez:64840	147	3	1.0
Entrez:54888	147	1	1.0
Entrez:1499	147	5	7.0
Entrez:523	146	3	2.0
Entrez:153241	145	1	2.0
Entrez:9131	145	1	3.0
Entrez:57190	145	1	2.0
Entrez:79718	145	3	2.0
Entrez:55768	144	1	1.0
Entrez:5339	144	1	6.0
Entrez:114548	144	1	5.0
Entrez:6792	144	2	1.0
Entrez:6872	144	1	2.0
Entrez:6662	143	2	1.0
Entrez:5193	143	1	2.0
Entrez:2626	143	1	5.0
Entrez:2073	142	1	2.0
Entrez:117581	142	2	3.0
Entrez:128674	141	1	1.0
Entrez:5447	141	1	3.0
Entrez:4088	140	2	1.0
Entrez:29957	140	2	1.0
Entrez:23522	140	10	2.0
Entrez:8573	140	7	3.0
Entrez:1736	139	1	1.0
Entrez:6834	139	3	2.0
Entrez:10060	139	5	3.0
Entrez:64324	139	36	2.0
Entrez:81857	138	2	2.0
Entrez:5604	137	1	2.0
Entrez:7227	136	18	2.0
Entrez:2627	136	2	5.0
Entrez:5373	136	3	1.0
Entrez:2332	136	22	3.0
Entrez:79728	136	17	2.0
Entrez:7248	135	5	3.0
Entrez:5080	135	4	8.0
Entrez:6651	135	5	1.0
Entrez:9786	134	5	2.0
Entrez:6885	134	1	2.0
Entrez:64135	134	4	2.0
Entrez:55670	133	1	2.0
Entrez:1146	133	2	2.0
Entrez:23384	132	5	3.0
Entrez:547	132	6	4.0
Entrez:998	131	2	1.0
Entrez:4210	131	4	2.0
Entrez:7249	131	5	3.0
Entrez:1145	130	1	3.0
Entrez:4010	130	2	1.0
Entrez:85358	130	11	2.0
Entrez:57728	129	2	4.0
Entrez:10522	129	5	2.0
Entrez:9927	128	3	3.0
Entrez:5077	128	11	4.0
Entrez:5885	128	2	2.0
Entrez:171023	127	14	2.0
Entrez:2132	127	2	2.0
Entrez:1186	126	2	3.0
Entrez:54806	125	3	1.0
Entrez:657	125	1	2.0
Entrez:8398	124	8	3.0
Entrez:79158	123	23	2.0
Entrez:51604	123	1	2.0
Entrez:1144	123	1	4.0
Entrez:10815	123	1	2.0
Entrez:4763	122	49	5.0
Entrez:1387	122	22	1.0
Entrez:1302	122	3	5.0
Entrez:5295	121	3	3.0
Entrez:4352	121	1	3.0
Entrez:6323	121	15	3.0
Entrez:2175	121	1	1.0
Entrez:2736	120	2	2.0
Entrez:6469	120	1	4.0
Entrez:5888	120	1	3.0
Entrez:54551	120	6	2.0
Entrez:8799	119	1	1.0
Entrez:2706	119	19	8.0
Entrez:5073	118	1	2.0
Entrez:29123	118	47	1.0
Entrez:4976	118	5	4.0
Entrez:1292	117	5	3.0
Entrez:1376	116	2	4.0
Entrez:23394	116	10	1.0
Entrez:860	116	10	2.0
Entrez:93627	116	4	1.0
Entrez:2623	116	9	4.0
Entrez:1289	116	4	2.0
Entrez:3815	115	1	5.0
Entrez:9321	115	1	2.0
Entrez:617	115	1	4.0
Entrez:1482	115	2	6.0
Entrez:10908	114	1	4.0
Entrez:4038	114	1	3.0
Entrez:10312	114	1	1.0
Entrez:5605	114	2	1.0
Entrez:5961	114	7	5.0
Entrez:2137	113	1	1.0
Entrez:7084	113	1	2.0
Entrez:7020	113	7	1.0
Entrez:291	112	2	3.0
Entrez:1282	112	4	4.0
Entrez:139285	112	2	1.0
Entrez:23345	111	4	3.0
Entrez:1188	111	2	2.0
Entrez:1293	111	2	3.0
Entrez:157680	111	11	1.0
Entrez:5889	109	2	2.0
